# X [m]   Y [m]   Z [m]
672.547128628     -8851.70558356     2459.41420806
-570.660150224     -8177.58715049     2198.3913369
388.002705739     -7893.0427276     2315.76458191
1346.6655617     -7608.49830471     2483.00495522
-1813.86742908     -7503.46871741     2078.19637762
-855.204573112     -7218.92429453     2151.36871502
103.45828285     -6934.37987164     2296.08705647
1062.12113881     -6649.83544875     2310.29829963
2020.78399478     -6365.29102586     2510.7771011
-3057.07470793     -6829.35028434     2000.4618467
-2098.41185196     -6544.80586145     2046.46689518
-1139.748996     -6260.26143856     2113.84790388
-181.086140038     -5975.71701567     2166.37111655
777.576715925     -5691.17259279     2242.43506844
1736.23957189     -5406.6281699     2303.58695497
2694.90242785     -5122.08374701     2511.25817789
-3341.61913082     -5870.68742838     1999.48318268
-2382.95627485     -5586.14300549     1993.40755345
-1424.29341889     -5301.5985826     2056.93113912
-465.630562927     -5017.05415971     2151.16953518
493.032293036     -4732.50973682     2275.92258771
1451.695149     -4447.96531393     2303.76178682
2410.35800496     -4163.42089105     2395.57883035
3369.02086092     -3878.87646816     2439.33049874
-4584.82640967     -5196.5689953     2002.77288087
-3626.1635537     -4912.02457241     2020.37484529
-2667.50069774     -4627.48014953     2037.68121064
-1708.83784178     -4342.93572664     2065.27112391
-750.174985816     -4058.39130375     2133.93393006
208.487870147     -3773.84688086     2259.34003049
1167.15072611     -3489.30245797     2346.97983389
2125.81358207     -3204.75803508     2339.36520718
3084.47643804     -2920.21361219     2376.58621448
4043.139294     -2635.66918931     2423.00233824
-5828.03368852     -4522.45056223     2016.6996158
-4869.37083256     -4237.90613934     2009.47132567
-3910.70797659     -3953.36171645     2025.57637343
-2952.04512063     -3668.81729356     2052.49771211
-1993.38226467     -3384.27287067     2065.06479353
-1034.7194087     -3099.72844779     2124.49132521
-76.0565527414     -2815.1840249     2168.24741341
882.606303222     -2530.63960201     2223.50430829
1841.26915918     -2246.09517912     2323.65759537
2799.93201515     -1961.55075623     2336.02876516
3758.59487111     -1677.00633334     2414.72001613
4717.25772707     -1392.46191045     2461.61402545
-6112.57811141     -3563.78770627     2026.58952631
-5153.91525544     -3279.24328338     2072.62105896
-4195.25239948     -2994.69886049     2029.65633664
-3236.58954352     -2710.1544376     2053.39065135
-2277.92668756     -2425.61001471     2068.3559329
-1319.26383159     -2141.06559182     2122.21062272
-360.60097563     -1856.52116893     2158.0530944
598.061880333     -1571.97674605     2216.79974388
1556.7247363     -1287.43232316     2224.00804152
