# lat [m]   lon [m]   Z [m]
43.5006108767     94.0751647973     2192.75868987
43.5087393218     94.0698637825     2278.50073765
43.5168672529     94.0645613439     2378.57898084
43.4967527163     94.0639988341     2186.712098
43.5048807026     94.0586967284     2280.63864169
43.5130083894     94.0533941666     2277.69995685
43.5211354778     94.0480893868     2379.85617392
43.5292623858     94.0427838457     2408.5235071
43.4847654005     94.058136187     2078.7939446
43.4928934156     94.0528345687     2144.927703
43.5010210028     94.0475315674     2220.72727643
43.5091481369     94.0422272609     2297.93691499
43.517274948     94.0369219404     2326.64638394
43.5254014658     94.0316152909     2345.95191056
43.5335273652     94.0263070052     2424.51518286
43.5416529095     94.0209974767     2487.377564
43.4809054711     94.0469740421     2068.98384098
43.4890330129     94.0416714247     2127.05972211
43.4971601455     94.036367522     2178.20136646
43.5052868772     94.0310622079     2244.63147475
43.5134132429     94.0257556988     2281.93296648
43.5215393834     94.0204479487     2281.55098699
43.52966495     94.0151386121     2349.27928587
43.537789954     94.0098279285     2439.28931037
43.5459145889     94.00451598     2512.96106642
43.4689171644     94.041115366     2044.29009538
43.4770444553     94.0358132574     2064.1757914
43.4851714579     94.0305097191     2092.88351106
43.4932981384     94.0252047727     2130.32440592
43.5014244661     94.0198984761     2164.57147884
43.5095504339     94.014590791     2208.63564702
43.5176759992     94.0092817382     2264.31247089
43.5258012833     94.0039713715     2290.70257104
43.5339258507     93.9986596385     2390.60844149
43.542050149     93.9933466068     2453.66540328
43.5501732055     93.9880324487     2621.23389573
43.4650556226     94.0299570465     2053.78616859
43.4731824175     94.0246538082     2077.48262222
43.4813088531     94.0193492303     2087.34369893
43.4894349921     94.0140432645     2089.26264471
43.4975609017     94.0087357598     2178.7255536
43.5056864092     94.003427031     2173.66900026
43.513811652     93.9981168723     2177.7069492
43.521936379     93.9928053761     2253.58171282
43.5300606765     93.9874925711     2324.82629489
43.5381845337     93.9821784582     2396.17711125
43.5463077401     93.9768631418     2496.57513124
43.5544298236     93.9715468817     2668.2378554
43.4530670247     94.0241028253     2124.88125616
43.4611930432     94.0188001609     2070.33531386
43.4693192786     94.0134958385     2085.57776416
43.4774451834     94.0081901324     2091.40833477
43.4855708518     94.0028830067     2113.5365231
43.4936961957     93.9975744913     2125.79277344
43.5018212482     93.9922645801     2144.31914082
43.5099460037     93.9869532641     2157.4150926
43.5180703258     93.9816406881     2220.51293113
43.5261942834     93.9763267418     2270.35028912
43.5343175078     93.9710117447     2384.79914523
43.5424404681     93.9656952798     2456.35610837
43.5505632231     93.9603773217     2498.29518935
43.5586851442     93.9550583625     2591.17384848
43.5668071698     93.949737678     2626.92842549
43.574928924     93.9444155645     2656.09879886
43.5830503899     93.9390920357     2681.92725263
43.4492044458     94.0129485274     2204.90914895
43.457330209     94.0076446083     2208.8319961
43.4654552187     94.0023393079     2123.37792825
43.4735804601     93.9970324748     2103.54301162
43.4817055843     93.9917242275     2115.32734252
43.4898304348     93.9864145964     2136.39795233
43.4979549718     93.9811035652     2153.66740044
43.5060792032     93.9757911502     2174.21229891
43.5142031419     93.9704773064     2186.68091473
43.5223265963     93.9651623592     2254.58205174
43.5304496413     93.9598460685     2317.85810563
43.5385722376     93.9545284895     2385.96739443
43.5466944938     93.9492094955     2441.57598039
43.5548166296     93.943888879     2464.7189427
43.5629379805     93.9385673261     2535.21767701
43.5710594415     93.9332439458     2556.62730684
43.579180064     93.9279196468     2620.36516219
43.5873006864     93.9225936492     2653.4448128
43.445339817     94.0017959634     2161.99998994
43.4534654151     93.9964908819     2205.5440383
43.4615906508     93.9911844536     2250.36154707
43.4697149067     93.9858763964     2167.62793569
43.4778393601     93.9805669935     2155.35191169
43.4859635916     93.9752561562     2145.52307946
43.4940876072     93.9699439686     2154.88760729
43.5022113335     93.9646304814     2184.12130362
43.5103347686     93.9593154528     2187.57688547
43.5184578482     93.9539992221     2221.45814807
43.5265805574     93.9486816695     2261.47274677
43.5347029149     93.9433627408     2299.89040203
43.5428247387     93.9380427029     2364.70647498
43.5509463622     93.9327210491     2401.63515235
43.5590675718     93.9273981012     2445.19221758
43.567187927     93.9220743559     2534.77294328
43.5753087063     93.916748323     2547.34265729
43.583428048     93.9114220936     2647.54243208
43.441474856     93.9906447989     2207.36978706
43.4495999081     93.9853386754     2250.58581267
43.4577247978     93.9800312999     2324.97402878
43.465848946     93.9747224104     2344.77656653
43.4739723803     93.9694116579     2265.68313979
43.482095884     93.9640996027     2231.53265829
43.4902192274     93.9587861147     2204.92201903
43.4983423804     93.9534711677     2179.7826108
43.5064652966     93.9481550897     2196.18803685
43.5145878931     93.9428376874     2221.03281705
43.5227102358     93.937518711     2226.70923813
43.5308321672     93.9321986189     2260.99964305
43.538953589     93.9268774607     2322.05655851
43.5470746497     93.9215548859     2375.94953184
43.5551952565     93.9162310576     2436.5485609
43.5633152163     93.9109062276     2520.7375531
43.5714354409     93.9055791319     2539.13043921
43.5795545958     93.9002515903     2618.77676577
43.5876741103     93.894921765     2638.77528072
43.4619814712     93.9635698551     2415.08975221
43.4701045767     93.958258315     2404.43841634
43.4782273309     93.9529450765     2358.90570328
43.4863498776     93.9476300905     2283.23069589
43.4944723877     93.942313858     2241.37438148
43.5025947236     93.9369966666     2254.01640925
43.510716748     93.9316781986     2278.80088471
43.5188385707     93.9263578745     2262.88112304
43.526960086     93.9210363554     2268.05354813
43.5350812412     93.9157136265     2289.26441522
43.543201736     93.910390222     2361.77532288
