# lat [m]   lon [m]   Z [m]
43.4945253771     94.0905213604     2192.88672711
43.5033384458     94.0880299199     2293.3707036
43.4838989679     94.0809085242     2069.05928872
43.492712141     94.0784166689     2133.24010177
43.5015250705     94.0759242429     2188.82746884
43.5103376346     94.0734301187     2333.01269869
43.4732716181     94.0712978893     2016.94637545
43.4820847903     94.0688051007     2085.53050048
43.4908976348     94.0663121456     2105.61957746
43.4997103572     94.0638181178     2162.26160848
43.5085226749     94.0613221176     2353.59018562
43.517334908     94.0588272787     2356.30680381
43.4626435686     94.0616899712     2016.41083928
43.4714564396     94.059196787     2035.05740693
43.4802691586     94.0567029852     2043.44082987
43.4890818516     94.0542081412     2090.16872679
43.4978943461     94.0517126303     2134.30704502
43.5067065384     94.0492156106     2284.73086316
43.5155185264     94.0467188234     2320.24803191
43.5243302416     94.0442211452     2383.66832235
43.5331417421     94.041722826     2441.6378332
43.4520148289     94.0520852687     2034.49268225
43.4608273775     94.0495913319     2030.95714278
43.4696399398     94.0470965564     2042.71029805
43.4784523924     94.0446010833     2052.01382272
43.4872647959     94.0421047444     2083.90371215
43.4960770808     94.0396073226     2177.57318507
43.5048890474     94.0371093189     2259.12073116
43.5137008488     94.0346109771     2280.87541523
43.5225124763     94.0321118608     2315.60013444
43.5313237724     94.0296118869     2384.40787533
43.5401344286     94.0271109823     2513.81375353
43.4501977431     94.0399890162     2061.3500411
43.4590098551     94.0374935263     2036.49046489
43.4678221556     94.0349970885     2048.97857612
43.4766343623     94.0324999224     2064.11651083
43.4854464606     94.0300020386     2080.2088071
43.4942584852     94.0275032535     2140.06986682
43.5030702667     94.0250037163     2218.56114053
43.5118818438     94.0225036667     2253.64751546
43.520693276     94.0200029371     2282.518838
43.5295043658     94.0175013875     2353.42143174
43.5383151278     94.0149991405     2434.93464311
43.4395677151     94.0303899896     2126.85449923
43.4483792731     94.0278936544     2073.61317463
43.4571912815     94.0253963334     2075.77421458
43.4660031047     94.0228983631     2057.34116219
43.4748150711     94.0203995229     2079.67957668
43.4836268789     94.017900005     2091.14516984
43.4924386099     94.0153997217     2122.551048
43.5012501803     94.0128986821     2180.74173143
43.5100616086     94.0103970508     2183.68591838
43.5188727229     94.007894595     2266.82137258
43.527683657     94.0053914989     2322.87104774
43.5364941508     94.002887701     2416.87057196
43.4377485245     94.0182971002     2165.7164493
43.4465599906     94.0157989289     2140.87974114
43.4553719778     94.0132998583     2190.51279219
43.4641829346     94.0108003484     2093.70640309
43.4729944761     94.0082999187     2087.91449749
43.4818060406     94.0057987338     2108.6888119
43.4906174689     94.0032968418     2122.72121153
43.4994287886     94.0007942347     2125.2837625
43.5082400173     93.9982909049     2139.85365992
43.5170509074     93.9957869148     2240.34058146
43.5258616505     93.993282223     2291.81012636
43.5346719747     93.9907768975     2381.58203435
43.5434818515     93.9882709479     2490.58420998
43.4447390929     94.0037052083     2165.19928643
43.4535505837     94.0012045659     2185.31681143
43.4623617953     93.9987032078     2179.36305948
43.4711727552     93.9962010922     2129.45497906
43.4799838931     93.9936982446     2114.25570555
43.4887950486     93.9911946921     2124.28250726
43.4976061108     93.9886904348     2143.0369123
43.506417058     93.9861854519     2156.45045783
43.51522786     93.983679793     2186.49417771
43.5240383322     93.9811735673     2263.82162449
43.5328484832     93.9786666977     2348.74470291
43.54165837     93.9761591423     2427.78667973
43.5504676454     93.9736510873     2547.84642781
43.4605391766     93.9866070343     2225.10032637
43.4693498752     93.9841032009     2191.47369259
43.4781605503     93.9815985734     2144.03921178
43.4869713908     93.9790933452     2146.99245379
43.4957821605     93.976587425     2159.39478758
43.5045928264     93.9740807901     2172.98618763
43.5134033963     93.9715734144     2181.74956701
43.522213786     93.9690654371     2215.6520622
43.5310237664     93.9665570214     2300.33323894
43.539833244     93.9640481218     2417.10713428
43.5486427767     93.9615382305     2475.47854378
43.5574516074     93.9590279896     2586.2990967
43.5662604501     93.9565168505     2660.01443957
43.4675263595     93.9720067948     2373.06453077
43.4763361488     93.9695000063     2229.11389842
43.4851464851     93.9669928577     2178.51716005
43.4939569185     93.9644850922     2155.3727977
43.5027673264     93.9619768627     2179.9956084
43.5115776069     93.9594678897     2199.51651915
43.5203877401     93.9569582533     2226.81036056
43.5291975861     93.95444813     2285.40379516
43.5380070659     93.9519374925     2366.79781447
43.5468163196     93.9494261146     2439.09000542
