# X [m]   Y [m]   Z [m]
-604.470785614     -7324.23866442     2188.6608103
374.809311941     -7121.72819424     2289.39140315
-1786.26135335     -6547.46903705     2065.45451926
-806.981255795     -6344.95856687     2130.03905103
172.29884176     -6142.44809669     2185.87310935
1151.57893932     -5939.93762651     2330.14805193
-2968.05192109     -5770.69940968     2013.64906153
-1988.77182353     -5568.1889395     2082.79403545
-1009.49172598     -5365.67846932     2103.28691484
-30.2116284208     -5163.16799913     2160.17574052
949.068469134     -4960.65752895     2351.59413545
1928.34856669     -4758.14705877     2354.24349884
-4149.84248882     -4993.9297823     2013.10726014
-3170.56239127     -4791.41931212     2032.47178491
-2191.28229371     -4588.90884194     2041.41613807
-1212.00219616     -4386.39837176     2088.54795423
-232.722098602     -4183.88790158     2132.93316837
746.557998953     -3981.3774314     2283.44688478
1725.83809651     -3778.86696122     2318.89691426
2705.11819406     -3576.35649104     2382.09306238
3684.39829162     -3373.84602086     2439.68142547
-5331.63305656     -4217.16015493     2030.86909791
-4352.352959     -4014.64968475     2028.20863444
-3373.07286145     -3812.13921457     2040.67985114
-2393.79276389     -3609.62874439     2050.54441456
-1414.51266634     -3407.11827421     2082.83832589
-435.232568783     -3204.60780402     2176.7548072
544.047528772     -3002.09733384     2258.39233974
1523.32762633     -2799.58686366     2280.0799892
2502.60772388     -2597.07639348     2314.5806643
3481.88782144     -2394.5659233     2383.0073604
4461.16791899     -2192.05545312     2511.8752126
-5534.14352674     -3237.88005737     2058.12491347
-4554.86342918     -3035.36958719     2034.14051177
-3575.58333163     -2832.85911701     2047.34679309
-2596.30323407     -2630.34864683     2063.04587625
-1617.02313652     -2427.83817665     2079.54229983
-637.743038964     -2225.32770647     2139.65046983
341.537058591     -2022.81723629     2218.23183508
1320.81715615     -1820.30676611     2253.25128424
2300.0972537     -1617.79629593     2281.89866876
3279.37735126     -1415.28582575     2352.42032153
4258.65744881     -1212.77535556     2433.39559438
-6715.93409447     -2461.11043     2122.83903132
-5736.65399692     -2258.59995982     2070.62998471
-4757.37389936     -2056.08948964     2073.66631732
-3778.09380181     -1853.57901946     2055.95153331
-2798.81370425     -1651.06854928     2078.8512058
-1819.5336067     -1448.5580791     2090.72103428
-840.253509145     -1246.04760891     2122.37412914
139.02658841     -1043.53713873     2180.65501099
1118.30668596     -841.026668553     2183.53237954
2097.58678352     -638.516198371     2266.44400524
3076.86688107     -436.00572819     2322.11284388
4056.14697863     -233.495258009     2415.57453628
-6918.44456466     -1481.83033245     2161.7863169
-5939.1644671     -1279.31986226     2137.98200412
-4959.88436955     -1076.80939208     2188.49046368
-3980.60427199     -874.298921903     2092.40242426
-3001.32417444     -671.788451722     2087.17187989
-2022.04407688     -469.277981541     2108.35053945
-1042.76397933     -266.76751136     2122.63026441
-63.4838817712     -64.2570411787     2125.28312299
915.796215784     138.253429002     2139.78631146
1895.07631334     340.763899183     2240.04951259
2874.35641089     543.274369364     2291.13832806
3853.63650845     745.784839545     2380.37250943
4832.916606     948.295309727     2488.6799721
-6141.67493728     -300.03976471     2162.23047456
-5162.39483973     -97.5292945291     2183.22350572
-4183.11474217     104.981175652     2177.9882327
-3203.83464462     307.491645833     2128.64161038
-2224.55454706     510.002116014     2113.84678739
-1245.27444951     712.512586195     2124.12102435
-265.994351952     915.023056376     2142.96584724
713.285745603     1117.53352656     2156.31279419
